Hobby-name,Type,Icon
Air sports,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/1384/1384739.png
Airsoft,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/17153/17153990.png
Amateur geology,Outdoors and sports,
Amusement park visiting,Outdoors and sports,
Archery,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/2827/2827022.png
Auto detailing,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/4856/4856365.png
Automobilism,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/3626/3626927.png
Astronomy,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/1283/1283488.png
Backpacking,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/18466/18466148.png
Badminton,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/2633/2633871.png
BASE jumping,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/17873/17873801.png
Baseball,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/18660/18660622.png
Basketball,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/18660/18660626.png
Beachcombing,Outdoors and sports,
Beekeeping,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/5493/5493038.png
Birdwatching,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/6105/6105166.png
Blacksmithing,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/3943/3943605.png
BMX,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/2503/2503373.png
Board sports,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/7469/7469316.png
Bodybuilding,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/6669/6669674.png
Bus riding,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/16932/16932136.png
Camping,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/1020/1020535.png
Canoeing,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/3639/3639633.png
Canyoning,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/11145/11145653.png
Carrier pigeons,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/3664/3664321.png
Car riding,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/15764/15764597.png
Car tuning,Outdoors and sports,https://cdn-icons-png.flaticon.com/128/4750/4750986.png
